Date,Biden,Trump
2020-11-03 00:00:00-06:00,51.2,44.0
2020-11-02 00:00:00-06:00,51.1,44.2
2020-11-01 00:00:00-05:00,51.1,43.9
2020-10-31 00:00:00-05:00,51.3,43.5
2020-10-30 00:00:00-05:00,51.4,43.5
2020-10-29 00:00:00-05:00,51.1,43.7
2020-10-28 00:00:00-05:00,51.1,43.6
2020-10-27 00:00:00-05:00,50.7,43.3
2020-10-26 00:00:00-05:00,50.8,43.0
2020-10-25 00:00:00-05:00,50.8,42.8
2020-10-24 00:00:00-05:00,50.8,42.7
2020-10-23 00:00:00-05:00,50.8,42.8
2020-10-22 00:00:00-05:00,50.7,42.8
2020-10-21 00:00:00-05:00,50.6,43.1
2020-10-20 00:00:00-05:00,51.1,42.5
2020-10-19 00:00:00-05:00,51.3,42.4
2020-10-18 00:00:00-05:00,51.3,42.4
2020-10-17 00:00:00-05:00,51.3,42.3
2020-10-16 00:00:00-05:00,51.2,42.3
2020-10-15 00:00:00-05:00,51.7,42.3
2020-10-14 00:00:00-05:00,51.5,42.3
2020-10-13 00:00:00-05:00,51.6,41.6
2020-10-12 00:00:00-05:00,51.8,41.6
2020-10-11 00:00:00-05:00,52.1,41.8
2020-10-10 00:00:00-05:00,51.8,41.8
2020-10-09 00:00:00-05:00,51.7,42.0
2020-10-08 00:00:00-05:00,51.8,42.0
2020-10-07 00:00:00-05:00,51.6,41.9
2020-10-06 00:00:00-05:00,51.2,42.2
2020-10-05 00:00:00-05:00,50.7,42.2
2020-10-04 00:00:00-05:00,50.6,42.5
2020-10-03 00:00:00-05:00,50.5,42.7
2020-10-02 00:00:00-05:00,50.3,42.9
2020-10-01 00:00:00-05:00,50.1,42.9
2020-09-30 00:00:00-05:00,49.7,43.1
2020-09-29 00:00:00-05:00,49.4,43.3
2020-09-28 00:00:00-05:00,49.7,42.9
2020-09-27 00:00:00-05:00,49.8,42.8
2020-09-26 00:00:00-05:00,49.9,43.0
2020-09-25 00:00:00-05:00,49.6,42.9
2020-09-24 00:00:00-05:00,49.8,42.9
2020-09-23 00:00:00-05:00,50.0,42.9
2020-09-22 00:00:00-05:00,49.7,43.1
2020-09-21 00:00:00-05:00,49.5,43.0
2020-09-20 00:00:00-05:00,49.4,42.9
2020-09-19 00:00:00-05:00,49.5,43.0
2020-09-18 00:00:00-05:00,49.3,43.1
2020-09-17 00:00:00-05:00,49.0,43.2
2020-09-16 00:00:00-05:00,49.0,43.1
2020-09-15 00:00:00-05:00,49.7,42.9
2020-09-14 00:00:00-05:00,50.0,42.9
2020-09-13 00:00:00-05:00,50.3,42.9
2020-09-12 00:00:00-05:00,50.5,42.7
2020-09-11 00:00:00-05:00,50.6,42.6
2020-09-10 00:00:00-05:00,50.5,43.0
2020-09-09 00:00:00-05:00,50.4,42.9
2020-09-08 00:00:00-05:00,49.9,42.8
2020-09-07 00:00:00-05:00,49.9,42.8
2020-09-06 00:00:00-05:00,49.7,42.8
2020-09-05 00:00:00-05:00,49.6,42.6
2020-09-04 00:00:00-05:00,49.6,42.6
2020-09-03 00:00:00-05:00,49.6,42.4
2020-09-02 00:00:00-05:00,49.6,42.4
2020-09-01 00:00:00-05:00,49.0,43.0
2020-08-31 00:00:00-05:00,49.6,43.3
2020-08-30 00:00:00-05:00,49.7,42.8
2020-08-29 00:00:00-05:00,49.7,42.8
2020-08-28 00:00:00-05:00,49.6,42.7
2020-08-27 00:00:00-05:00,49.6,42.5
2020-08-26 00:00:00-05:00,49.6,42.5
2020-08-25 00:00:00-05:00,49.7,42.3
2020-08-24 00:00:00-05:00,50.1,42.3
2020-08-23 00:00:00-05:00,50.1,42.3
2020-08-22 00:00:00-05:00,50.0,42.4
2020-08-21 00:00:00-05:00,49.8,42.2
2020-08-20 00:00:00-05:00,49.7,42.3
2020-08-19 00:00:00-05:00,49.7,42.3
2020-08-18 00:00:00-05:00,50.0,42.4
2020-08-17 00:00:00-05:00,50.2,42.5
2020-08-16 00:00:00-05:00,50.2,42.5
2020-08-15 00:00:00-05:00,49.8,41.9
2020-08-14 00:00:00-05:00,49.3,41.6
2020-08-13 00:00:00-05:00,49.2,41.8
2020-08-12 00:00:00-05:00,49.3,41.8
2020-08-11 00:00:00-05:00,49.1,41.9
2020-08-10 00:00:00-05:00,48.9,42.0
2020-08-09 00:00:00-05:00,48.9,42.0
2020-08-08 00:00:00-05:00,49.1,42.7
2020-08-07 00:00:00-05:00,49.1,42.7
2020-08-06 00:00:00-05:00,49.1,42.7
2020-08-05 00:00:00-05:00,49.1,42.7
2020-08-04 00:00:00-05:00,49.4,42.4
2020-08-03 00:00:00-05:00,49.4,42.0
2020-08-02 00:00:00-05:00,49.4,42.0
2020-08-01 00:00:00-05:00,49.4,42.0
2020-07-31 00:00:00-05:00,49.9,42.1
2020-07-30 00:00:00-05:00,49.9,41.6
2020-07-29 00:00:00-05:00,50.1,41.7
2020-07-28 00:00:00-05:00,50.5,41.5
2020-07-27 00:00:00-05:00,50.6,41.3
2020-07-26 00:00:00-05:00,50.6,41.3
2020-07-25 00:00:00-05:00,50.0,40.9
2020-07-24 00:00:00-05:00,49.6,40.9
2020-07-23 00:00:00-05:00,49.6,40.9
2020-07-22 00:00:00-05:00,49.6,40.9
2020-07-21 00:00:00-05:00,49.5,40.8
2020-07-20 00:00:00-05:00,49.3,40.7
2020-07-19 00:00:00-05:00,49.3,40.7
2020-07-18 00:00:00-05:00,49.4,40.6
2020-07-17 00:00:00-05:00,48.7,40.1
2020-07-16 00:00:00-05:00,48.7,40.1
2020-07-15 00:00:00-05:00,48.7,40.1
2020-07-14 00:00:00-05:00,49.0,40.2
2020-07-13 00:00:00-05:00,49.0,40.2
2020-07-12 00:00:00-05:00,49.0,40.2
2020-07-11 00:00:00-05:00,49.3,40.3
2020-07-10 00:00:00-05:00,49.3,40.3
2020-07-09 00:00:00-05:00,49.3,40.3
2020-07-08 00:00:00-05:00,49.6,40.8
2020-07-07 00:00:00-05:00,49.6,40.9
2020-07-06 00:00:00-05:00,49.6,40.9
2020-07-05 00:00:00-05:00,49.6,40.9
2020-07-04 00:00:00-05:00,49.6,40.9
2020-07-03 00:00:00-05:00,49.3,40.5
2020-07-02 00:00:00-05:00,49.3,40.0
2020-07-01 00:00:00-05:00,49.7,40.3
2020-06-30 00:00:00-05:00,50.0,40.4
2020-06-29 00:00:00-05:00,50.0,40.4
2020-06-28 00:00:00-05:00,49.5,40.3
2020-06-27 00:00:00-05:00,49.5,40.1
2020-06-26 00:00:00-05:00,49.7,40.2
2020-06-25 00:00:00-05:00,50.6,40.6
2020-06-24 00:00:00-05:00,51.0,40.9
2020-06-23 00:00:00-05:00,51.1,40.9
2020-06-22 00:00:00-05:00,51.2,41.4
2020-06-21 00:00:00-05:00,51.2,41.4
2020-06-20 00:00:00-05:00,50.6,41.1
2020-06-19 00:00:00-05:00,50.6,41.1
2020-06-18 00:00:00-05:00,50.1,41.3
2020-06-17 00:00:00-05:00,50.1,41.6
2020-06-16 00:00:00-05:00,50.2,41.7
2020-06-15 00:00:00-05:00,50.1,41.7
2020-06-14 00:00:00-05:00,50.1,41.7
2020-06-13 00:00:00-05:00,49.8,41.7
2020-06-12 00:00:00-05:00,49.8,41.7
2020-06-11 00:00:00-05:00,49.8,41.7
2020-06-10 00:00:00-05:00,49.8,41.7
2020-06-09 00:00:00-05:00,49.8,41.7
2020-06-08 00:00:00-05:00,49.6,41.6
2020-06-07 00:00:00-05:00,49.6,42.4
2020-06-06 00:00:00-05:00,49.5,42.1
2020-06-05 00:00:00-05:00,49.3,42.2
2020-06-04 00:00:00-05:00,49.3,42.1
2020-06-03 00:00:00-05:00,49.9,42.1
2020-06-02 00:00:00-05:00,49.0,41.5
2020-06-01 00:00:00-05:00,49.0,42.2
2020-05-31 00:00:00-05:00,48.4,42.5
2020-05-30 00:00:00-05:00,47.7,42.4
2020-05-29 00:00:00-05:00,47.7,42.4
2020-05-28 00:00:00-05:00,47.7,42.4
2020-05-27 00:00:00-05:00,47.7,42.4
